plate,longitude,latitude,time,status
3,113.867516,22.584383,2016-08-26 00:08:51,1
1,114.11150400000001,22.532766,2016-08-26 00:08:47,1
1,114.111549,22.532534,2016-08-26 00:08:49,1
1,114.111717,22.531882999999997,2016-08-26 00:08:55,1
4,114.099602,22.547933999999998,2016-08-26 00:08:58,1
0,114.064865,22.537901,2016-08-26 00:08:58,1
1,114.11273200000001,22.531616,2016-08-26 00:09:08,1
0,114.064301,22.537767000000002,2016-08-26 00:09:08,1
3,113.866051,22.583282,2016-08-26 00:09:11,1
4,114.09956399999999,22.54995,2016-08-26 00:09:13,1
0,114.064301,22.537782999999997,2016-08-26 00:09:18,0
1,114.114052,22.531816,2016-08-26 00:09:21,1
2,114.10202,22.544132,2016-08-26 00:09:02,1
2,114.101463,22.543867000000002,2016-08-26 00:09:08,1
2,114.100967,22.543768,2016-08-26 00:09:12,1
2,114.100052,22.543582999999998,2016-08-26 00:09:22,1
2,114.09993,22.543568,2016-08-26 00:09:24,1
4,114.09958600000002,22.55155,2016-08-26 00:09:28,1
0,114.064301,22.537782999999997,2016-08-26 00:09:28,0
3,113.865829,22.583099,2016-08-26 00:09:31,1
2,114.09998300000001,22.543582999999998,2016-08-26 00:09:37,1
0,114.064301,22.537782999999997,2016-08-26 00:09:38,0
1,114.11498300000001,22.533966,2016-08-26 00:09:42,1
1,114.11498300000001,22.533966,2016-08-26 00:09:43,1
4,114.09958600000002,22.551767,2016-08-26 00:09:43,1
0,114.064301,22.537782999999997,2016-08-26 00:09:48,0
2,114.10003700000001,22.543682,2016-08-26 00:09:50,1
3,113.865829,22.583099,2016-08-26 00:09:51,1
1,114.115715,22.535017,2016-08-26 00:09:55,1
4,114.101547,22.552217000000002,2016-08-26 00:09:58,1
0,114.0644,22.537933,2016-08-26 00:09:58,0
2,114.09998300000001,22.54365,2016-08-26 00:10:03,1
1,114.116798,22.536118,2016-08-26 00:10:08,1
0,114.0644,22.537933,2016-08-26 00:10:08,0
2,114.099686,22.54365,2016-08-26 00:10:10,1
3,113.86471599999999,22.582067000000002,2016-08-26 00:10:11,1
4,114.102303,22.55245,2016-08-26 00:10:13,1
4,114.102303,22.55245,2016-08-26 00:10:16,0
0,114.064201,22.537901,2016-08-26 00:10:18,0
1,114.117447,22.536818,2016-08-26 00:10:20,1
2,114.09801499999999,22.54355,2016-08-26 00:10:24,1
3,113.863548,22.58115,2016-08-26 00:10:31,1
0,114.063698,22.537916,2016-08-26 00:10:28,0
4,114.102303,22.55245,2016-08-26 00:10:31,0
2,114.096733,22.543484,2016-08-26 00:10:32,1
1,114.118683,22.537582,2016-08-26 00:10:34,1
0,114.063499,22.537982999999997,2016-08-26 00:10:38,0
1,114.119919,22.538418,2016-08-26 00:10:47,1
